Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,No description,,Uncategorized,7145,"$35,452.81 ",-12,($67.27),($1.62),"$35,383.92 ","$2,247.13 "
1 Deal,Regular,,Uncategorized,75,$70.50 ,0,$0.00 ,$0.00 ,$70.50 ,$4.72 
2 Deal,Regular,,Uncategorized,7,$9.87 ,0,$0.00 ,$0.00 ,$9.87 ,$0.68 
2 Doughnut Holes,Regular Price,,Uncategorized,1346,$336.50 ,-3,($0.75),($0.45),$335.30 ,$0.00 
Add Espresso Shot,Regular Price,,Uncategorized,1597,$894.32 ,0,$0.00 ,($0.90),$893.42 ,$63.10 
Add Ice/Specialty Glaze,Regular,,Uncategorized,114,$26.22 ,0,$0.00 ,$0.00 ,$26.22 ,$2.18 
Add Soy,Regular Price,,Uncategorized,1023,$572.88 ,-2,($1.12),($0.95),$570.81 ,$40.61 
Add Yogurt,Regular Price,,Uncategorized,101,$43.43 ,0,$0.00 ,$0.00 ,$43.43 ,$3.03 
Americano (double),Regular Price,,Uncategorized,1519,"$3,205.09 ",-1,($2.11),($7.57),"$3,195.41 ",$213.05 
Apple Cider,Regular Price,,Uncategorized,31,$57.97 ,0,$0.00 ,$0.00 ,$57.97 ,$0.00 
Bag Tea,Regular Price,,Uncategorized,15,$63.00 ,0,$0.00 ,$0.00 ,$63.00 ,$4.22 
Bee Balm (12oz),Regular Price,,Uncategorized,200,$702.00 ,-1,($3.51),($0.70),$697.79 ,$47.58 
Bee Balm (16oz),Regular Price,,Uncategorized,333,"$1,248.75 ",0,$0.00 ,($1.50),"$1,247.25 ",$83.58 
Bee Balm (20oz),Regular Price,,Uncategorized,131,$521.38 ,0,$0.00 ,($2.37),$519.01 ,$35.17 
Blowing Rock Tea Oz.,Regular Price,,Uncategorized,30,$126.00 ,0,$0.00 ,$0.00 ,$126.00 ,$8.48 
Boone Community,Regular Price,,Uncategorized,5,$15.00 ,0,$0.00 ,$0.00 ,$15.00 ,$0.00 
Breve Large,Regular Price,,Uncategorized,26,$110.50 ,0,$0.00 ,$0.00 ,$110.50 ,$7.51 
Breve Medium,Regular Price,,Uncategorized,74,$259.74 ,0,$0.00 ,$0.00 ,$259.74 ,$17.69 
Breve Small,Regular Price,,Uncategorized,87,$264.48 ,0,$0.00 ,$0.00 ,$264.48 ,$18.00 
Cafe Au Lait (12oz),Regular Price,,Uncategorized,79,$184.86 ,0,$0.00 ,$0.00 ,$184.86 ,$12.62 
Cafe Au Lait (16oz),Regular Price,,Uncategorized,75,$193.50 ,0,$0.00 ,$0.00 ,$193.50 ,$13.00 
Cafe Au Lait (20oz),Regular Price,,Uncategorized,18,$50.58 ,0,$0.00 ,$0.00 ,$50.58 ,$3.42 
Cappuccino Traditional,Regular Price,,Uncategorized,497,"$1,396.57 ",0,$0.00 ,($0.84),"$1,395.73 ",$94.39 
Cash back,Regular,,Uncategorized,2,$20.00 ,0,$0.00 ,$0.00 ,$20.00 ,$0.00 
Chai Latte (Large),Regular Price,,Uncategorized,302,"$1,060.02 ",0,$0.00 ,($7.00),"$1,053.02 ",$71.55 
Chai Latte (Medium),Regular Price,,Uncategorized,673,"$2,207.44 ",0,$0.00 ,($3.95),"$2,203.49 ",$147.95 
Chai Latte (Small),Regular Price,,Uncategorized,503,"$1,529.12 ",0,$0.00 ,($5.17),"$1,523.95 ",$103.44 
Chips,Regular Price,,Uncategorized,14,$21.00 ,0,$0.00 ,($0.30),$20.70 ,$1.38 
Coffee lb,Regular Price,,Uncategorized,1047,"$11,517.00 ",-4,($44.00),($23.11),"$11,449.89 ",$771.63 
Cortado,Regular Price,,Uncategorized,110,$268.40 ,0,$0.00 ,($0.24),$268.16 ,$18.11 
Cubano,Regular Price,,Uncategorized,4,$8.44 ,0,$0.00 ,$0.00 ,$8.44 ,$0.56 
D- (Dozen),Regular Price,,Uncategorized,822,"$12,124.50 ",-4,($59.00),($25.07),"$12,040.43 ",$814.59 
D- Cake,Regular Price,,Uncategorized,3937,"$3,700.78 ",-10,($9.40),($1.77),"$3,689.61 ",$246.14 
D- Cake Dozen,Regular Price,,Uncategorized,122,"$1,218.78 ",0,$0.00 ,($1.00),"$1,217.78 ",$82.00 
D- Filled Specialty,Regular Price,,Uncategorized,1056,"$2,724.48 ",0,$0.00 ,($2.33),"$2,722.15 ",$183.26 
D- Holes Cup,Regular Price,,Uncategorized,876,"$1,971.00 ",-1,($2.25),($3.60),"$1,965.15 ",$131.35 
D-Yeast Glazed,Regular Price,,Uncategorized,22300,"$36,572.00 ",-24,($39.36),($41.22),"$36,491.42 ","$2,449.85 "
Drip (12oz.),Regular Price,,Uncategorized,5273,"$8,647.72 ",-6,($9.84),($4.76),"$8,633.12 ",$579.33 
Drip (16oz.),Regular Price,,Uncategorized,4923,"$9,206.01 ",-3,($5.61),($9.51),"$9,190.89 ",$633.91 
Drip (20oz),Regular Price,,Uncategorized,2395,"$5,053.45 ",0,$0.00 ,($2.10),"$5,051.35 ",$336.81 
Drip Refill,Regular Price,,Uncategorized,343,$161.21 ,0,$0.00 ,$0.00 ,$161.21 ,$10.30 
Espresso Double,Regular Price,,Uncategorized,637,"$1,191.19 ",0,$0.00 ,$0.00 ,"$1,191.19 ",$81.57 
Flavor,Regular Price,,Uncategorized,2689,$887.37 ,-1,($0.33),($0.98),$886.06 ,$54.02 
Flavor/Whip,Regular Price,,Uncategorized,222,$73.26 ,0,$0.00 ,($0.03),$73.23 ,$4.46 
Frappe (16oz.),Regular Price,,Uncategorized,961,"$3,824.78 ",-2,($7.96),($7.57),"$3,809.25 ",$258.26 
Fresh Red,Regular Price,,Uncategorized,272,"$1,020.00 ",0,$0.00 ,($1.50),"$1,018.50 ",$68.21 
Group Coffee ,Regular Price,,Uncategorized,14,$177.10 ,0,$0.00 ,$0.00 ,$177.10 ,$11.96 
