Item Name,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,2872,19489.61,-30,($622.59),($85.44),"$18,781.58 ",$664.98 
16.9 Oz San Pellegrino,147,441,0,$0.00 ,($7.20),$433.80 ,$0.00 
2 Doughnut Holes,2722,680.5,-10,($2.50),($0.47),$677.53 ,$0.00 
8.5 Oz San Pellegrino ,55,116.05,0,$0.00 ,($3.16),$112.89 ,$7.52 
Add Espresso Shot,4299,2407.44,-9,($5.04),($12.57),"$2,389.83 ",$168.40 
Add Soy,3104,1738.24,-5,($2.80),($20.74),"$1,714.70 ",$121.87 
Add Yogurt,3,1.29,0,$0.00 ,$0.00 ,$1.29 ,$0.09 
Americano (double),4321,9117.31,-5,($10.55),($10.75),"$9,096.01 ",$605.52 
Apple Cider,35,65.45,0,$0.00 ,$0.00 ,$65.45 ,$0.00 
Apple Cider 16 Oz,26,54.86,0,$0.00 ,($1.26),$53.60 ,$3.20 
Bee Balm (12oz),323,1133.73,-2,($7.02),($1.05),"$1,125.66 ",$76.59 
Bee Balm (16oz),612,2295,-1,($3.75),$0.00 ,"$2,291.25 ",$153.44 
Bee Balm (20oz),352,1400.96,-1,($3.98),$0.00 ,"$1,396.98 ",$94.75 
Beer Fancy,51,255,0,$0.00 ,$0.00 ,$255.00 ,$17.32 
Beer Sale,38,114,0,$0.00 ,($0.90),$113.10 ,$7.54 
Beer Standard,138,552,0,$0.00 ,$0.00 ,$552.00 ,$37.26 
Boone Community,4,12,0,$0.00 ,$0.00 ,$12.00 ,$0.00 
Breve Large,58,246.5,0,$0.00 ,($0.42),$246.08 ,$16.65 
Breve Medium,99,347.49,0,$0.00 ,($2.45),$345.04 ,$23.46 
Breve Small,166,504.64,0,$0.00 ,($1.82),$502.82 ,$34.32 
Cafe Au Lait (12oz),163,381.42,0,$0.00 ,($0.70),$380.72 ,$25.98 
Cafe Au Lait (16oz),212,546.96,0,$0.00 ,$0.00 ,$546.96 ,$36.73 
Cafe Au Lait (20oz),76,213.56,0,$0.00 ,$0.00 ,$213.56 ,$14.44 
Cappuccino Traditional,585,1643.85,0,$0.00 ,($5.05),"$1,638.80 ",$110.79 
Chai Latte (Large),711,2495.61,0,$0.00 ,($3.16),"$2,492.45 ",$169.16 
Chai Latte (Medium),1877,6156.56,-7,($22.96),($18.97),"$6,114.63 ",$410.58 
Chai Latte (Small),1315,3997.6,-4,($12.16),($28.82),"$3,956.62 ",$268.42 
Cheap Beer,4,8,0,$0.00 ,$0.00 ,$8.00 ,$0.56 
Coffee lb,3963,43593,-32,($352.00),($86.90),"$43,154.10 ","$2,901.91 "
Cortado,534,1302.96,0,$0.00 ,($40.89),"$1,262.07 ",$85.29 
Cubano,22,46.42,0,$0.00 ,$0.00 ,$46.42 ,$3.08 
D- (Dozen),1938,28585.5,-24,($354.00),($215.32),"$28,016.18 ","$1,877.91 "
D- Cake,4934,4637.96,-5,($4.70),($13.10),"$4,620.16 ",$305.99 
D- Cake Dozen,105,1048.95,0,$0.00 ,($14.00),"$1,034.95 ",$62.24 
D- Filled Specialty,2525,6514.5,-15,($38.70),($5.92),"$6,469.88 ",$435.46 
D- Holes Cup,1540,3465,-13,($29.25),($5.42),"$3,430.33 ",$228.99 
D-Yeast Glazed,41385,67871.4,-130,($213.20),($112.61),"$67,545.59 ","$4,534.67 "
Draft Beer,185,740,0,$0.00 ,($1.20),$738.80 ,$44.20 
Drip (12oz.),13616,22330.24,-24,($39.36),($23.08),"$22,267.80 ","$1,493.38 "
Drip (16oz.),12739,23821.93,-27,($50.49),($24.47),"$23,746.97 ","$1,636.23 "
Drip (20oz),6971,14708.81,-9,($18.99),($12.18),"$14,677.64 ",$977.81 
Drip Refill,1582,743.54,-6,($2.82),($0.98),$739.74 ,$47.49 
Espresso Double,1060,1982.2,-2,($3.74),($11.95),"$1,966.51 ",$134.62 
Flavor,10507,3467.31,-19,($6.27),($12.05),"$3,448.99 ",$210.57 
Frappe (16oz.),616,2451.68,-3,($11.94),($8.36),"$2,431.38 ",$164.92 
Fresh Red,273,1023.75,-1,($3.75),($1.89),"$1,018.11 ",$68.25 
Group Coffee ,81,1044.9,0,$0.00 ,($19.35),"$1,025.55 ",$60.91 
Half Dozen (yeast),1696,13907.2,-10,($82.00),($41.82),"$13,783.38 ",$927.39 
Hazel Truffle (12oz),636,2232.36,-2,($7.02),($2.10),"$2,223.24 ",$151.34 
Hazel Truffle (16oz),1079,4046.25,-5,($18.75),($7.12),"$4,020.38 ",$269.33 
Hazel Truffle (20oz),413,1643.74,0,$0.00 ,($1.20),"$1,642.54 ",$111.40 
Hot Chocolate (8oz),12,21,0,$0.00 ,$0.00 ,$21.00 ,$0.00 
Hot Chocolate 12oz,813,1902.42,-2,($4.68),($2.80),"$1,894.94 ",$129.13 
Hot Chocolate 16oz,311,901.9,-2,($5.80),$0.00 ,$896.10 ,$61.12 
Hot Chocolate 20oz,52,189.8,0,$0.00 ,$0.00 ,$189.80 ,$12.67 
Hot/Tea ,1564,2924.68,0,$0.00 ,($8.40),"$2,916.28 ",$201.21 
Juice (large),42,78.54,0,$0.00 ,$0.00 ,$78.54 ,$5.41 
Latte 12oz,4692,13184.52,-10,($28.10),($115.20),"$13,041.22 ",$881.55 
Latte 16oz,5998,21052.98,-24,($84.24),($75.73),"$20,893.01 ","$1,421.51 "
Latte 20oz,2303,8636.25,-7,($26.25),($9.35),"$8,600.65 ",$583.10 
Local Lotus,2206,5247.5,-9,($22.50),($17.84),"$5,207.16 ",$0.47 
London Fog 12oz.,1,3.14,0,$0.00 ,$0.00 ,$3.14 ,$0.21 
London Fog 16oz.,1,3.84,0,$0.00 ,$0.00 ,$3.84 ,$0.26 
Macchiato,236,575.84,-1,($2.44),($5.11),$568.29 ,$38.49 
