Date,Single,Dozen,HalfDozen
2/28/2013,$16.40 ,$0.00 ,$0.00 
3/1/2013,$9.84 ,$0.00 ,$0.00 
3/2/2013,$0.00 ,$0.00 ,$0.00 
3/3/2013,$0.00 ,$0.00 ,$0.00 
3/4/2013,$0.00 ,$0.00 ,$0.00 
3/5/2013,$0.00 ,$0.00 ,$0.00 
3/6/2013,$18.04 ,$0.00 ,$0.00 
3/7/2013,$47.56 ,$0.00 ,$0.00 
3/8/2013,$145.96 ,$44.25 ,$8.20 
3/9/2013,$145.96 ,$0.00 ,$8.20 
3/10/2013,$0.00 ,$0.00 ,$0.00 
3/11/2013,$77.08 ,$29.50 ,$8.20 
3/12/2013,$132.84 ,$14.75 ,$0.00 
3/13/2013,$123.00 ,$0.00 ,$16.40 
3/14/2013,$118.08 ,$0.00 ,$8.20 
3/15/2013,$88.56 ,$44.25 ,$24.60 
3/16/2013,$127.92 ,$14.75 ,$49.20 
3/17/2013,$0.00 ,$0.00 ,$0.00 
3/18/2013,$126.28 ,$14.75 ,$8.20 
3/19/2013,$119.72 ,$29.50 ,$0.00 
3/20/2013,$82.00 ,$14.75 ,$8.20 
3/21/2013,$159.08 ,$29.50 ,$8.20 
3/22/2013,$182.04 ,$44.25 ,$8.20 
3/23/2013,$247.64 ,$29.50 ,$24.60 
3/24/2013,$0.00 ,$0.00 ,$0.00 
3/25/2013,$172.20 ,$29.50 ,$0.00 
3/26/2013,$159.08 ,$0.00 ,$0.00 
3/27/2013,$157.44 ,$0.00 ,$8.20 
3/28/2013,$109.88 ,$132.75 ,$16.40 
3/29/2013,$162.36 ,$44.25 ,$16.40 
3/30/2013,$219.76 ,$73.75 ,$16.40 
3/31/2013,$0.00 ,$0.00 ,$0.00 
4/1/2013,$75.44 ,$88.50 ,$8.20 
4/2/2013,$108.24 ,$0.00 ,$8.20 
4/3/2013,$100.04 ,$14.75 ,$32.80 
4/4/2013,$141.04 ,$29.50 ,$16.40 
4/5/2013,$139.40 ,$29.50 ,$8.20 
4/6/2013,$150.88 ,$88.50 ,$16.40 
4/7/2013,$0.00 ,$0.00 ,$0.00 
4/8/2013,$103.32 ,$44.25 ,$0.00 
4/9/2013,$80.36 ,$73.75 ,$0.00 
4/10/2013,$93.48 ,$14.75 ,$16.40 
4/11/2013,$98.40 ,$73.75 ,$16.40 
4/12/2013,$164.00 ,$29.50 ,$8.20 
4/13/2013,$254.20 ,$29.50 ,$0.00 
4/14/2013,$0.00 ,$0.00 ,$0.00 
4/15/2013,$141.04 ,$14.75 ,$8.20 
4/16/2013,$113.16 ,$0.00 ,$0.00 
4/17/2013,$93.48 ,$73.75 ,$16.40 
4/18/2013,$134.48 ,$44.25 ,$32.80 
4/19/2013,$232.88 ,$103.25 ,$0.00 
4/20/2013,$244.36 ,$59.00 ,$0.00 
4/21/2013,$0.00 ,$0.00 ,$0.00 
4/22/2013,$139.40 ,$44.25 ,$0.00 
4/23/2013,$113.16 ,$59.00 ,$0.00 
4/24/2013,$178.76 ,$14.75 ,$0.00 
4/25/2013,$118.08 ,$44.25 ,$8.20 
4/26/2013,$180.40 ,$29.50 ,$0.00 
4/27/2013,$224.68 ,$59.00 ,$8.20 
4/28/2013,$0.00 ,$0.00 ,$0.00 
4/29/2013,$152.52 ,$88.50 ,$16.40 
4/30/2013,$170.56 ,$29.50 ,$8.20 
5/1/2013,$123.00 ,$73.75 ,$0.00 
5/2/2013,$188.60 ,$44.25 ,$8.20 
5/3/2013,$177.12 ,$118.00 ,$0.00 
5/4/2013,$237.80 ,$44.25 ,$0.00 
5/5/2013,$0.00 ,$0.00 ,$0.00 
5/6/2013,$154.16 ,$44.25 ,$16.40 
5/7/2013,$164.00 ,$29.50 ,$0.00 
5/8/2013,$160.72 ,$0.00 ,$0.00 
5/9/2013,$155.80 ,$14.75 ,$8.20 
5/10/2013,$155.80 ,$44.25 ,$32.80 
5/11/2013,$168.92 ,$88.50 ,$24.60 
5/12/2013,$0.00 ,$0.00 ,$0.00 
5/13/2013,$159.08 ,$59.00 ,$8.20 
5/14/2013,$108.24 ,$0.00 ,$8.20 
5/15/2013,$104.96 ,$0.00 ,$8.20 
5/16/2013,$80.36 ,$73.75 ,$0.00 
5/17/2013,$116.44 ,$59.00 ,$8.20 
5/18/2013,$139.40 ,$73.75 ,$82.00 
5/19/2013,$0.00 ,$0.00 ,$0.00 
5/20/2013,$118.08 ,$14.75 ,$0.00 
5/21/2013,$106.60 ,$29.50 ,$24.60 
5/22/2013,$100.04 ,$0.00 ,$24.60 
5/23/2013,$98.40 ,$44.25 ,$8.20 
5/24/2013,$126.28 ,$29.50 ,$0.00 
5/25/2013,$180.40 ,$59.00 ,$16.40 
5/26/2013,$0.00 ,$0.00 ,$0.00 
5/27/2013,$170.56 ,$73.75 ,$8.20 
5/28/2013,$119.72 ,$29.50 ,$24.60 
5/29/2013,$104.96 ,$29.50 ,$0.00 
5/30/2013,$108.24 ,$44.25 ,$8.20 
5/31/2013,$109.88 ,$59.00 ,$8.20 
6/1/2013,$137.76 ,$14.75 ,$41.00 
6/2/2013,$0.00 ,$0.00 ,$0.00 
6/3/2013,$93.48 ,$73.75 ,$41.00 
6/4/2013,$113.16 ,$14.75 ,$8.20 
6/5/2013,$141.04 ,$59.00 ,$0.00 
6/6/2013,$160.72 ,$29.50 ,$24.60 
6/7/2013,$175.48 ,$118.00 ,$41.00 
6/8/2013,$211.56 ,$29.50 ,$16.40 
6/9/2013,$0.00 ,$0.00 ,$0.00 
6/10/2013,$137.76 ,$29.50 ,$8.20 
6/11/2013,$88.56 ,$29.50 ,$8.20 
6/12/2013,$123.00 ,$44.25 ,$0.00 
6/13/2013,$119.72 ,$59.00 ,$8.20 
6/14/2013,$160.72 ,$14.75 ,$0.00 
6/15/2013,$108.24 ,$0.00 ,$24.60 
6/16/2013,$0.00 ,$0.00 ,$0.00 
6/17/2013,$106.60 ,$44.25 ,$32.80 
6/18/2013,$159.08 ,$14.75 ,$8.20 
6/19/2013,$191.88 ,$14.75 ,$16.40 
6/20/2013,$103.32 ,$59.00 ,$24.60 
6/21/2013,$145.96 ,$44.25 ,$24.60 
6/22/2013,$178.76 ,$44.25 ,$41.00 
6/23/2013,$0.00 ,$0.00 ,$0.00 
6/24/2013,$113.16 ,$14.75 ,$8.20 
6/25/2013,$78.72 ,$14.75 ,$0.00 
6/26/2013,$165.64 ,$0.00 ,$16.40 
6/27/2013,$154.16 ,$59.00 ,$0.00 
6/28/2013,$95.12 ,$44.25 ,$0.00 
6/29/2013,$164.00 ,$73.75 ,$0.00 
6/30/2013,$0.00 ,$0.00 ,$0.00 
7/1/2013,$127.92 ,$14.75 ,$0.00 
7/2/2013,$127.92 ,$73.75 ,$16.40 
7/3/2013,$198.44 ,$29.50 ,$8.20 
7/4/2013,$145.96 ,$88.50 ,$24.60 
7/5/2013,$242.72 ,$103.25 ,$8.20 
7/6/2013,$213.20 ,$132.75 ,$24.60 
7/7/2013,$0.00 ,$0.00 ,$0.00 
7/8/2013,$113.16 ,$44.25 ,$24.60 
7/9/2013,$116.44 ,$73.75 ,$24.60 
7/10/2013,$119.72 ,$29.50 ,$24.60 
7/11/2013,$132.84 ,$88.50 ,$16.40 
7/12/2013,$178.76 ,$88.50 ,$16.40 
7/13/2013,$237.80 ,$73.75 ,$65.60 
7/14/2013,$0.00 ,$0.00 ,$0.00 
7/15/2013,$129.56 ,$29.50 ,$24.60 
7/16/2013,$98.40 ,$44.25 ,$8.20 
